"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2020-04-30T22:00:00.000Z","25.29","36.98","25.29","35.33","39.81","39.17","528,396"
"2020-05-31T22:00:00.000Z","35.32","43.93","35.32","41.15","16.47","15.83","581,247"
"2020-06-30T22:00:00.000Z","41.13","44.88","41.13","43.30","5.22","4.58","443,021"
"2020-08-01T22:00:00.000Z","43.26","46.24","43.24","45.10","4.16","3.51","405,942"
"2020-08-31T22:00:00.000Z","45.85","46.04","39.28","40.95","-9.20","-9.84","483,298"
"2020-09-30T22:00:00.000Z","40.96","43.60","36.68","37.46","-8.52","-9.16","609,695"
"2020-10-31T23:00:00.000Z","37.46","49.07","37.46","47.59","27.04","26.40","644,413"
"2020-11-30T23:00:00.000Z","47.61","52.47","46.77","51.34","7.88","7.24","528,154"
"2021-01-02T23:00:00.000Z","51.66","57.42","50.58","55.88","8.84","8.20","586,185"
"2021-01-31T23:00:00.000Z","55.88","67.70","55.88","66.13","18.34","17.70","611,358"
"2021-02-28T23:00:00.000Z","65.95","71.36","60.26","63.54","-3.92","-4.56","774,197"
"2021-03-31T22:00:00.000Z","63.60","68.95","61.24","67.25","5.84","5.20","637,206"
"2021-05-01T22:00:00.000Z","67.29","70.26","64.56","69.63","3.54","2.90","547,723"
"2021-05-31T22:00:00.000Z","69.63","76.59","69.63","75.13","7.90","7.26","669,981"
"2021-06-30T22:00:00.000Z","74.70","77.83","67.42","76.33","1.60","0.95","775,897"
"2021-07-31T22:00:00.000Z","75.18","75.33","64.80","72.99","-4.38","-5.02","680,098"
"2021-08-31T22:00:00.000Z","71.70","80.74","70.41","78.52","7.58","6.93","590,970"
"2021-09-30T22:00:00.000Z","78.41","86.72","77.57","84.38","7.46","6.82","821,979"
"2021-10-31T23:00:00.000Z","83.73","85.50","70.22","70.57","-16.37","-17.01","801,902"
"2021-11-30T23:00:00.000Z","70.14","80.16","65.77","79.20","12.23","11.59","646,880"
"2022-01-01T23:00:00.000Z","77.94","91.69","77.04","91.21","15.16","14.52","587,269"
"2022-01-31T23:00:00.000Z","91.29","105.75","88.01","100.99","10.72","10.08","689,687"
"2022-02-28T23:00:00.000Z","100.85","137.00","96.95","107.91","6.85","6.21","531,264"
"2022-03-31T22:00:00.000Z","107.67","114.82","97.62","109.34","1.33","0.68","311,730"
"2022-04-30T22:00:00.000Z","109.36","124.13","100.93","122.84","12.35","11.70","436,184"
"2022-05-31T22:00:00.000Z","116.63","125.18","107.03","114.81","-6.54","-7.18","420,958"
"2022-06-30T22:00:00.000Z","109.46","114.69","94.50","110.01","-4.18","-4.82","430,112"
"2022-07-31T22:00:00.000Z","103.87","105.48","91.52","96.49","-12.29","-12.93","465,973"
"2022-08-31T22:00:00.000Z","94.78","96.99","83.63","87.96","-8.84","-9.48","470,730"
"2022-10-01T22:00:00.000Z","86.51","98.76","86.51","94.83","7.81","7.17","619,846"
"2022-10-31T23:00:00.000Z","92.80","99.56","80.64","85.43","-9.91","-10.55","526,954"
"2022-11-30T23:00:00.000Z","86.60","89.41","75.11","85.91","0.56","-0.08","448,938"
"2022-12-31T23:00:00.000Z","86.04","89.10","77.61","84.49","-1.65","-2.30","477,537"
"2023-01-31T23:00:00.000Z","85.52","86.95","79.09","83.89","-0.71","-1.35","442,600"
"2023-02-28T23:00:00.000Z","83.10","86.76","70.13","79.77","-4.91","-5.55","567,529"
"2023-04-01T22:00:00.000Z","83.29","87.49","77.39","79.54","-0.29","-0.93","449,558"
"2023-04-30T22:00:00.000Z","80.18","80.19","68.20","72.66","-8.65","-9.29","573,427"
"2023-05-31T22:00:00.000Z","72.09","78.72","71.57","74.90","3.08","2.44","543,787"
"2023-07-01T22:00:00.000Z","75.13","85.66","74.58","85.56","14.23","13.59","500,942"
"2023-07-31T22:00:00.000Z","85.35","88.10","81.97","86.86","1.52","0.88","609,501"
"2023-08-31T22:00:00.000Z","86.82","97.63","86.74","95.31","9.73","9.09","628,525"
"2023-09-30T22:00:00.000Z","92.19","93.79","83.45","87.41","-8.29","-8.93","790,605"
"2023-10-31T23:00:00.000Z","85.45","87.78","76.60","82.83","-5.24","-5.88","656,054"
"2023-11-30T23:00:00.000Z","80.47","81.71","72.30","77.04","-6.99","-7.63","481,107"
"2024-01-01T23:00:00.000Z","77.21","84.79","74.79","81.71","6.06","5.42","593,915"
"2024-01-31T23:00:00.000Z","80.67","84.30","76.62","83.62","2.34","1.70","527,155"
"2024-02-29T23:00:00.000Z","81.97","87.71","81.08","87.48","4.62","3.97","550,197"
"2024-03-31T22:00:00.000Z","86.93","92.18","86.40","87.29","-0.22","-0.86","500,997"
